S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
60,Odisha,24,Balasore,344,Bahanaga,3707,Dandaharipur,119297,Kespur,281006,Keshapur,393812,393812,Keshapur,783,362,128,293,174,167,0,
60,Odisha,24,BALESWAR,344,REMUNA,3702,KURUDA,119165,TAMULIA,697245,,0,0,,0,0,0,0,123,0,0,Villages taken from SBM
61,Odisha,24,BALESWAR,344,REMUNA,3702,MAHARAJPUR,119166,CHHADASUL,696914,,0,0,,0,0,0,0,13,0,0,Villages taken from SBM
61,Odisha,24,Balasore,344,Bahanaga,3707,Dandaharipur,119297,Mugunipur,281004,Mugunipur,393815,393815,Mugunipur,677,271,65,341,18,18,0,
62,Odisha,24,Balasore,344,Bahanaga,3707,Dandaharipur,119297,Nayakabandha,281005,Nayakbandha,393813,393813,Nayakbandha,144,144,0,0,23,23,0,
62,Odisha,24,BALESWAR,344,REMUNA,3702,MANDARPUR,119167,BAHADALPUR,697246,,0,0,,107,32,0,75,27,0,0,Villages taken from SBM
63,Odisha,24,BALESWAR,344,REMUNA,3702,NUAGAN,119171,SUNAMUHI,692600,,0,0,,140,0,40,100,106,0,0,Villages taken from SBM
63,Odisha,24,Balasore,344,Bahanaga,3707,Dandaharipur,119297,Pitalapada,281007,Pitalapada,393811,393811,Pitalapada,507,476,1,30,131,131,0,
64,Odisha,24,Balasore,344,Bahanaga,3707,Gopalpur,119298,Apitira,281027,Apitira,393828,393828,Apitira,587,148,0,439,131,126,0,
64,Odisha,24,BALESWAR,344,REMUNA,3702,REMUNA,119174,ATHANTAR,695342,,0,0,,710,54,138,518,210,0,0,Villages taken from SBM
65,Odisha,24,BALESWAR,344,REMUNA,3702,SARASWATIPUR,119175,SAMALPUR,692601,,0,0,,1077,153,350,574,484,0,0,Villages taken from SBM
