S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
72,Odisha,24,Malkangiri,369,Chitrakonda,3944,Doraguda,124201,Mahupadar,317371,Mahupadar,430631,430631,Mahupadar,198,186,11,1,53,53,0,
73,Odisha,24,Malkangiri,369,Chitrakonda,3944,Doraguda,124201,Maliguda,317366,Maliguda,430629,430629,Maliguda,601,215,321,65,158,93,0,
74,Odisha,24,Malkangiri,369,Chitrakonda,3944,Doraguda,124201,Padalput,317378,Padalput,430639,430639,Padalput,40,0,15,25,9,9,0,
75,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,DORAGUDA,124201,PHULPADAR,317372,Phulapadar,430632,430632,Phulapadar,474,49,425,0,138,31,0,
76,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,DORAGUDA,124201,SILAIPUT,317359,Silaiput,430635,430635,Silaiput,207,0,200,7,46,39,0,
77,Odisha,24,Malkangiri,369,Chitrakonda,3944,Doraguda,124201,Talapadar,317380,Talapadar,430661,430661,Talapadar,204,0,202,2,17,17,0,
78,Odisha,24,Malkangiri,369,Chitrakonda,3944,Doraguda,124201,Tatmanguda,317365,Tatamanguda,430659,430659,Tatamanguda,318,0,314,4,73,28,0,
79,Odisha,24,Malkangiri,369,Chitrakonda,3944,Gajalmamidi,298172,Bandhaguda,316974,Bandoguda,430843,923659,BANDHAGUDA,137,0,137,0,32,0,0,
80,Odisha,24,Malkangiri,369,Chitrakonda,3944,Gajalmamidi,298172,Doliamba,316975,Doliamba,430842,426173,Doliamba,54,0,54,0,12,0,0,
81,Odisha,24,Malkangiri,369,Chitrakonda,3944,Gajalmamidi,298172,Elempaka,316977,Elampanka,430840,923654,ALAMPAKA,352,0,341,11,83,57,0,
82,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,GAJALMAMIDI,298172,GAJALMAMIDI,316978,Gajalmamudi,430839,924802,GAJALMAMUDI,478,12,461,5,126,65,0,
83,Odisha,24,Malkangiri,369,Chitrakonda,3944,Gajalmamidi,298172,Kadaput,316980,Kadaput,430835,923650,KADAPUT,16,0,16,0,5,0,0,
84,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,GAJALMAMIDI,298172,NUAGUDA-II,625211,Nuaguda,430832,923660,NUAGUDA,18,0,18,0,5,0,0,
85,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,GAJALMAMIDI,298172,PANASGANDHI,316979,Panasgandhi,430836,923651,PANASGANDHI,47,0,46,1,15,0,0,
86,Odisha,24,Malkangiri,369,Chitrakonda,3944,Gajalmamidi,298172,Ranginiguda,316972,Ranginiguda,430844,923657,RANGINIGUDA,184,0,184,0,33,0,0,
87,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,GAJALMAMIDI,298172,SITAGANDHI-I,316992,Sitagandhi,430838,923653,SITAGANDHI,55,0,54,1,16,0,0,
88,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,GAJALMAMIDI,298172,SITAGANDHI-II,316973,Sutugandhi,430837,923652,SUTUGANDHI,137,0,137,0,35,0,0,
89,Odisha,24,Malkangiri,369,Chitrakonda,3944,Gajalmamidi,298172,Tontapally,316981,Tentapali,430834,923649,TANTAPALLI,357,4,349,4,72,51,0,
90,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,GAJALMAMIDI,298172,TUMULAMAMIDI,316976,Tumulumamudi,430841,923655,TUMULMAMUDI,183,0,183,0,44,0,0,
91,Odisha,24,Malkangiri,369,Chitrakonda,3944,Guntabeda,124198,Aringi,317337,Arinji alias Kantabanjaguda,430663,430663,Aringi,125,6,89,30,30,24,0,
92,Odisha,24,Malkangiri,369,Chitrakonda,3944,Guntabeda,124198,Burudiput,317338,Burudiput,430651,430651,Burudiput,1003,79,522,402,210,134,0,
93,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,GUNTABEDA,124198,GHATIKONDA,317331,Ghatikonda,430653,430653,Ghatkonda,272,0,271,1,59,30,0,
94,Odisha,24,Malkangiri,369,Chitrakonda,3944,Guntabeda,124198,Guntabeda,317323,Guntabeda,430657,430657,Gunthawada,1138,198,747,193,285,223,0,
95,Odisha,24,Malkangiri,369,Chitrakonda,3944,Guntabeda,124198,Haripur,317332,Haripur,430658,430658,Haripur,226,2,221,3,48,38,0,
